Eingangsleistung;DJI Avinox;Specialized 3.1 S-Works;Bosch CX 5 (100 Nm);Gobao P101
172;777,2792296;649,6977437;594,006336;697,919167
173;777,2294203;650,6082095;597,0926522;698,2109293
174;777,1785932;651,3994903;600,1686893;698,4428348
175;777,1267564;652,077514;603,2338781;698,6084272
176;777,0739177;652,6488845;606,2874334;698,7015903
177;777,0200842;653,1208416;609,3283299;698,716751
178;776,9652631;653,5012103;612,35528;698,6491045
179;776,9094614;653,7983398;615,3667115;698,4948647
180;776,8526861;654,0210315;618,3607476;698,2515411
181;776,7949445;654,1784543;621,3351888;697,918243
182;776,7362442;654,2800474;624,2874963;697,4960128
183;776,6765933;654,3354101;627,2147792;696,9881908
184;776,6160004;654,3541756;630,1137843;696,4008116
185;776,5544747;654,3458716;632,9808901;696,1555949
186;776,4920263;654,3197628;635,8121046;695,9103761
187;776,428666;654,284678;638,6030689;695,6651593
188;776,3644053;654,2488181;641,3490655;695,419948
189;776,2992568;654,2195458;644,0450337;695,1747461
190;776,2332341;654,2031555;646,6855912;694,9295573
191;776,1663517;654,2046223;649,2650638;694,6843851
192;776,0986252;654,2273286;651,7775235;694,4392331
193;776,0300713;654,2727687;654,2168361;694,1941049
194;775,9607076;654,3402288;656,5767183;693,9490038
195;775,8905531;654,426442;658,8508063;693,7039333
196;775,8196277;654,5252173;661,0327366;693,4588966
197;775,7479525;654,6270411;663,116239;693,2138971
198;775,6755496;654,7186495;665,0952438;694,0829594
199;775,6024424;654,5663816;666,9640047;693,9725566
200;775,5286551;653,9721393;668,7172364;693,8630003
201;775,4542134;653,8851675;670,350271;693,7546273
202;775,3791436;653,8031015;671,8592316;693,6477216
203;775,3034733;653,7254347;673,241226;693,5425182
204;775,2272309;653,6516929;674,4945618;693,439207
205;775,1504461;653,5814331;675,6189828;693,3379363
206;775,0731491;653,5142418;676,6159302;693,2388156
207;774,9953712;653,4497337;677,4888278;693,1419194
208;774,9171446;653,3875508;678,2433947;693,04729
209;774,8385021;653,3273604;678,8879856;692,9549402
210;774,7594775;653,2688546;679,4339606;692,8648562
211;774,6801051;653,2117488;679,8960869;692,7770004
212;774,6004198;653,1557802;680,2929731;692,6913133
213;774,5204574;653,1007075;680,6475383;692,6077166
214;774,4402538;653,0463091;680,9875178;692,5261148
215;774,3598459;652,9923825;681,4301519;692,4463975
216;774,2792705;652,938743;681,8795764;692,3684416
217;774,1985651;652,8852232;682,2927975;692,2921127
218;774,1177673;652,8316715;682,6705809;692,2172674
219;774,0369153;652,7779517;683,0137329;692,1437547
220;773,956047;652,723942;683,3230966;692,0714174
221;773,8752008;652,6695339;683,5995469;692,0000938
222;773,794415;652,6146319;683,843987;691,929619
223;773,7137278;652,5591524;684,0573445;691,8598262
224;773,6331776;652,5030232;684,2405676;691,7905476
225;773,5528026;652,4461825;684,3946218;691,721616
226;773,4726405;652,3885784;684,5204863;691,6528654
227;773,3927293;652,3301686;684,6191514;691,5841322
228;773,3131062;652,270919;684,6916152;691,5152559
229;773,2338083;652,2108039;684,7388809;691,4460797
230;773,1548723;652,1498049;684,7619541;691,3764518
231;773,0763342;652,0879107;684,7618405;691,3062256
232;772,9982297;652,0251164;684,7395434;691,2352601
