Kadenz;Specialized 3.1 S-Works;DJI Avinox;Bosch CX 5 (100 Nm);Gobao P101
89,5;524,1743663;565,6;445,9357702;650,5570908
90;524,2472132;571,3;446,0420634;649,7008255
90,5;524,3001614;577,5;446,1483955;648,8073891
91;524,3324041;584,4;446,254448;647,8776956
91,5;524,3430996;592;446,3598738;646,9124844
92;524,3313751;600,4;446,4642988;645,9123203
92,5;524,2963311;609,7;446,5673239;644,8775938
93;524,237046;620;446,6685269;643,8085221
93,5;524,1525806;631,3;446,7674647;642,7051515
94;524,0419835;643,8;446,8636762;641,5673603
94,5;523,9042956;654,6;446,9566843;640,3948631
95;523,7385561;660,5;447,0459993;639,1872152
95,5;523,5438076;665,4;447,1311219;637,9438186
96;523,3191021;669,6;447,2115459;636,6639281
96,5;523,0635064;673,2;447,286762;635,3466591
97;522,7761085;676,3;447,3562608;633,9909957
97,5;522,4560236;679;447,4195365;632,5957993
98;522,1024002;681,3;447,4760907;631,1598183
98,5;521,7144263;683,3;447,5254353;629,6816987
99;521,291336;685;447,5670969;628,1599949
99,5;520,8324158;686,5;447,6006199;626,5931815
100;520,3370109;687,8;447,6255704;624,9796652
100,5;519,8045317;688,8;447,6415396;623,3177975
101;519,2344603;689,7;447,6481477;621,6058883
101,5;518,6263566;690,4;447,6450469;619,8422186
102;517,9798646;691;447,6319248;618,0250549
102,5;517,2947188;691,5;447,6085082;616,1526631
103;516,5707501;691,9;447,5745654;614,2233226
103,5;515,8078913;692,3;447,5299094;612,2353403
104;515,0061832;692,7;447,4744011;610,1870652
104,5;514,1657799;693,1;447,4079509;608,0769024
105;513,2869539;693,6;447,3305219;605,9033266
105,5;512,3701008;694;447,2421312;603,6648958
106;511,415744;694,5;447,1428522;601,3602644
106,5;510,4245387;695;447,0328157;598,9881954
107;509,3972756;695,5;446,9122114;596,5475723
107,5;508,3348844;696;446,7812884;594,0374097
108;507,2384359;696,6;446,6403561;591,4568632
108,5;506,1091446;697,1;446,4897839;588,8052386
109;504,9483704;697,5;446,3300014;586,0819984
109,5;503,757619;697,9;446,1614977;583,2867684
110;502,5385424;698,1;445,9848202;580,419342
110,5;501,2929383;698,2;445,8005735;577,4796822
111;500,0227488;698,2;445,6094173;574,4679226
111,5;498,7300579;698;445,4120645;571,3843655
112;497,4170886;697,6;445,2092783;568,2294778
112,5;496,0861988;697;445,0018692;565,0038844
113;494,7398758;696,3;444,7906914;561,7083588
113,5;493,3807303;695,4;444,576639;558,3438103
114;492,0114888;694,3;444,3606414;554,9112687
114,5;490,634985;693,1;444,1436588;551,4118647
115;489,2541496;691,8;443,9266763;547,8468072
115,5;487,8719992;690,4;443,7106989;544,2173559
116;486,4916235;689,1;443,496745;540,5247907
116,5;485,1161705;687,8;443,28584;536,7703754
117;483,748831;686,6;443,0790092;532,9553172
117,5;482,392821;685,5;442,8772708;529,0807215
118;481,0513622;684,6;442,6816281;525,1475403
118,5;479,7276605;684;442,4930613;521,1565157
119;478,4248837;683,7;442,3125195;517,1081172
119,5;477,1461355;683,7;442,1409119;513,0024726
120;475,8944289;683,9;441,9790988;508,8392923
